unidade;ano;mes;ineficiencia
HAC;2025;1;1,5322
HAC;2025;2;1,4793
HAC;2025;3;1,5897
HAC;2025;4;1,3491
HAC;2025;5;1,5259
HAC;2025;6;1,3138
HAC;2025;7;1,6582999999999999
HAC;2025;8;1,4377
HAC;2025;9;1,377
HAC;2025;10;1,7289000000000003
HAC;2025;11;1,4287
HAC;2025;12;1,6818
HAC;2026;1;1,7666
HAC;2026;2;1,5579
HAC;2026;3;1,4338
HAC;2026;4;1,7055
HAC;2026;5;2,0283
HAC;2026;6;1,849
HAC;2026;7;1,834
HEM;2025;1;1,3981
HEM;2025;2;1,3511
HEM;2025;3;1,5269
HEM;2025;4;1,34
HEM;2025;5;1,2792
HEM;2025;6;1,4464
HEM;2025;7;1,3363
HEM;2025;8;1,2512
HEM;2025;9;1,5436
HEM;2025;10;1,2774
HEM;2025;11;1,4027
HEM;2025;12;1,3129
HEM;2026;1;1,5371
HEM;2026;2;1,5453
HEM;2026;3;1,4255
HEM;2026;4;1,2952
HEM;2026;5;1,3609
HEM;2026;6;1,5606
HEM;2026;7;1,4198
HIJPII;2025;1;1,4443
HIJPII;2025;2;1,3426
HIJPII;2025;3;1,2255000000000003
HIJPII;2025;4;1,158
HIJPII;2025;5;1,1424
HIJPII;2025;6;0,9257
HIJPII;2025;7;1,2025
HIJPII;2025;8;1,3017
HIJPII;2025;9;1,6227
HIJPII;2025;10;1,4705
HIJPII;2025;11;1,3305
HIJPII;2025;12;1,6092000000000002
HIJPII;2026;1;1,532
HIJPII;2026;2;1,5251
HIJPII;2026;3;0,7068
HIJPII;2026;4;1,1068
HIJPII;2026;5;1,069
HIJPII;2026;6;1,0082
HIJPII;2026;7;1,0918
HJK;2025;1;1,5272
HJK;2025;2;1,7208
HJK;2025;3;1,5133
HJK;2025;4;1,4645
HJK;2025;5;1,3581
HJK;2025;6;1,4468
HJK;2025;7;1,4397
HJK;2025;8;1,4195
HJK;2025;9;1,4513
HJK;2025;10;1,4449
HJK;2025;11;1,5649
HJK;2025;12;1,4753
HJK;2026;1;1,5676
HJK;2026;2;1,6223
HJK;2026;3;1,7168
HJK;2026;4;1,7059
HJK;2026;5;1,7119999999999997
HJK;2026;6;1,6883
HJK;2026;7;1,7227
HJXXIII;2025;1;1,4295
HJXXIII;2025;2;1,4435
HJXXIII;2025;3;1,6138
HJXXIII;2025;4;1,3333
HJXXIII;2025;5;1,4988
HJXXIII;2025;6;1,4648
HJXXIII;2025;7;1,5512
HJXXIII;2025;8;1,5134
HJXXIII;2025;9;1,7445
HJXXIII;2025;10;1,4383
HJXXIII;2025;11;1,4335
HJXXIII;2025;12;1,5211
HJXXIII;2026;1;1,692
HJXXIII;2026;2;1,624
HJXXIII;2026;3;1,5048
HJXXIII;2026;4;1,5091
HJXXIII;2026;5;1,4
